order_id,customer_id,category,sales_amount,order_date,device,promo_code,review_score
1,655,Electronics,22.26,2025-05-21,mobile,FLASH30,2
2,755,Electronics,341.58,2025-10-07,mobile,,1
3,31,Electronics,117.13,2025-09-16,tablet,SAVE10,5
4,204,Beauty,328.44,2025-10-07,desktop,FLASH30,4
5,604,Home & Garden,406.62,2025-01-04,mobile,,3
6,285,Clothing,115.5,2025-06-22,mobile,SUMMER20,4
7,100,Home & Garden,425.27,2025-11-06,desktop,SAVE10,4
8,550,Electronics,486.83,2025-07-13,mobile,,5
9,371,Sports,104.22,2025-02-05,mobile,FLASH30,3
10,82,Toys,124.07,2025-02-21,desktop,,4
11,651,Toys,188.77,2025-07-09,desktop,FLASH30,3
12,719,Beauty,327.54,2025-11-08,tablet,WELCOME15,5
13,747,Clothing,90.07,2025-07-14,desktop,FLASH30,3
14,787,Toys,37.41,2025-01-17,desktop,,3
15,68,Clothing,457.44,2025-10-18,tablet,,2
16,672,Books,203.86,2025-11-26,desktop,WELCOME15,3
17,143,Clothing,375.04,2025-10-03,desktop,,5
18,409,Home & Garden,117.47,2025-03-12,tablet,,1
19,774,Electronics,431.94,2025-03-20,tablet,WELCOME15,4
20,611,Electronics,198.54,2025-11-02,desktop,,5
21,12,Beauty,363.15,2025-12-16,tablet,,3
22,115,Home & Garden,223.03,2025-08-21,mobile,,5
23,781,Clothing,258.76,2025-02-24,tablet,,5
24,624,Clothing,84.89,2025-03-24,tablet,SAVE10,5
25,332,Books,19.54,2025-07-05,desktop,FLASH30,1
26,247,Sports,474.01,2025-02-13,tablet,,1
27,779,Sports,385.26,2025-03-07,tablet,,5
28,170,Home & Garden,268.56,2025-11-07,desktop,FLASH30,5
29,774,Beauty,348.04,2025-06-09,desktop,,4
30,530,Books,69.29,2025-04-26,mobile,,1
31,603,Sports,122.76,2025-04-23,mobile,SUMMER20,1
32,235,Electronics,453.66,2025-06-19,mobile,FLASH30,3
33,686,Books,114.98,2025-03-09,tablet,,2
34,485,Toys,209.46,2025-02-18,mobile,,3
35,434,Books,238.84,2025-01-28,tablet,SUMMER20,1
36,413,Beauty,176.26,2025-02-25,mobile,FLASH30,2
37,550,Books,78.69,2025-04-04,desktop,,2
38,78,Books,405.93,2025-10-09,mobile,SAVE10,5
39,16,Electronics,463.92,2025-05-02,mobile,,4
